Name,RA,Dec,Class,Gmag
WISE J011615.40-764807.1,19.06428466,-76.80200213,Hot,13.95061
 BE Tuc,19.24255019,-73.71962381,Hot,13.973835
WISE J011659.37-730245.6,19.24742201,-73.04602334,Hot,13.67678
WISE J011710.15-743246.7,19.29235772,-74.54632503,Hot,13.851475
WISE J011721.05-733545.2,19.33771657,-73.59589849,Hot,13.275343
SSTISAGEMA J011721.40-723049.4,19.33918002,-72.51374069,Hot,13.956101
SSTISAGEMA J011727.16-724038.1,19.36329208,-72.67726271,Hot,13.696185
WISE J011832.33-694915.2,19.63467940,-69.82090112,Hot,14.132517000000002
WISE J011900.61-723411.5,19.75258099,-72.56989708,Hot,13.475239000000002
WISE J011937.20-694832.6,19.90497975,-69.80905912,Hot,12.563209
SSTISAGEMA J012006.60-715451.9,20.02752136,-71.91443588,Hot,12.574418
SSTISAGEMA J012028.81-733515.6,20.11996331,-73.58768567,Hot,14.341746
SSTISAGEMA J012039.64-724703.5,20.16521492,-72.78429211,Hot,13.667455
 MLR  294AB,20.18335893,67.85084861,Hot,9.821628
WISE J012052.40-725212.0,20.21836661,-72.86999490,Hot,13.757788
SSTISAGEMA J012137.79-725303.2,20.40751438,-72.88425141,Hot,13.846959
SSTISAGEMA J012150.98-733740.9,20.46237679,-73.62803889,Cool,14.290894
SSTISAGEMA J012214.83-724102.8,20.56182600,-72.68411141,Hot,13.432510999999998
TYC 4030-2143-1,20.61765389,61.03282095,Hot,10.427846
SSTISAGEMA J012245.51-724634.0,20.68968864,-72.77612010,Hot,13.772903
2MASS J01231071-7400198,20.79468110,-74.00550888,Hot,13.829867000000002
SSTISAGEMA J012348.45-712059.8,20.95189000,-71.34996657,Hot,13.744285
{[M2002]} SMC  81338,21.04496944,-73.36942823,Hot,13.915634
SSTISAGEMA J012432.48-724446.1,21.13527613,-72.74611188,Hot,13.836085
WISE J012439.78-735023.0,21.16575009,-73.83972889,Hot,13.422744
TYC 4030-1245-1,21.29306968,61.14207048,Hot,10.33357
SSTISAGEMA J012551.92-725714.9,21.46636699,-72.95412313,Hot,13.691454
SSTISAGEMA J012601.10-711025.2,21.50457033,-71.17367118,Hot,12.726567
SSTISAGEMA J012621.24-735601.4,21.58845658,-73.93375315,Hot,13.671205
SSTISAGEMA J012651.76-732100.6,21.71553715,-73.35017124,Hot,14.126322
WISE J012737.64-724853.4,21.90684677,-72.81484534,Hot,13.798785999999998
WISE J012741.10-732553.9,21.92125937,-73.43165604,Hot,13.159082
WISE J012811.59-742456.6,22.04829510,-74.41575284,Hot,13.716531
 HV   863,22.13148533,-73.79655310,Hot,13.398405
WISE J012839.51-725606.4,22.16464754,-72.93511560,Hot,13.283223
SSTISAGEMA J012914.23-733153.4,22.30913353,-73.53149911,Hot,14.182765
WISE J012944.86-724357.2,22.43692141,-72.73255245,Hot,13.406675
2MASS J01302004-7343483,22.58339595,-73.73011541,Hot,15.858662
WISE J013023.39-723916.3,22.59748738,-72.65453637,Hot,13.371018
 HV  2231,22.60636507,-73.31142406,Cool,13.335501
WISE J013037.81-732838.8,22.65763366,-73.47743043,Hot,13.543524
UCAC2   2665305,22.72398721,-66.25400605,Hot,13.868367999999998
SSTISAGEMA J013114.35-724529.7,22.80977777,-72.75825582,Hot,14.185865
WISE J013141.22-742405.6,22.92176932,-74.40159113,Hot,13.487685
WISE J013156.27-725435.1,22.98490590,-72.90975882,Hot,13.730711
SSTISAGEMA J013307.81-740238.3,23.28246603,-74.04403667,Hot,12.640992
SSTISAGEMA J013356.21-741307.5,23.48408557,-74.21881580,Hot,14.264113
SSTISAGEMA J013446.65-723723.9,23.69435018,-72.62333788,Hot,13.304201
 RZ Hyi,23.96947612,-73.88923005,Hot,13.885001999999998
WISE J013620.93-750024.2,24.08720777,-75.00672817,Hot,13.73317
SSTISAGEMA J013633.99-731757.5,24.14160618,-73.29932921,Hot,14.489695
WISE J013653.63-700330.3,24.22348698,-70.05844135,Hot,13.382265
SSTISAGEMA J013701.78-724342.1,24.25746200,-72.72836530,Hot,14.310494
WISE J013752.73-693850.6,24.46976098,-69.64738932,Hot,13.7487545
WISE J013756.02-765716.6,24.48351361,-76.95461965,Hot,14.7349205
TYC 3679-1362-1,24.75167839,57.43273133,Hot,10.528036
WISE J013911.40-684056.8,24.79751322,-68.68246072,Hot,14.203464000000002
WISE J014005.24-782147.6,25.02192698,-78.36323179,Hot,14.619483
WISE J014010.92-733926.5,25.04558743,-73.65736345,Hot,14.093988
 ST Hyi,25.13419300,-74.50711403,Hot,13.020083
WISE J014101.41-725154.5,25.25593249,-72.86514176,Hot,13.552479
WISE J014152.47-742156.0,25.46862865,-74.36557781,Hot,14.194914
WISE J014203.98-683300.3,25.51663864,-68.55009149,Hot,13.932022
WISE J014205.92-745611.7,25.52466470,-74.93660843,Hot,13.641088
WISE J014242.16-655347.0,25.67573912,-65.89641222,Hot,13.270955
WISE J014346.87+593051.8,25.94529265,59.51440165,Hot,12.303647
WISE J014359.31-744159.5,25.99713588,-74.69986946,Hot,13.940829999999998
