index,oid,ra,dec
212307,1507210300045774,98.776904,8.7151639
212357,1528107100004335,243.8474879,7.5065163
212375,1530209400003345,261.7038202,8.9569781
212388,1532111400024120,272.413391,8.3901193
212406,1532211400034404,272.4134671,8.3902537
212432,1533113100015062,282.6396918,11.5873092
212458,1535106100004195,294.9728187,7.953953
212494,1535111400016900,292.7832383,8.8182604
212530,1535206100004450,294.9728292,7.9539586
212571,1535211400018525,292.7832323,8.8182776
212612,1536101300019929,302.7985533,4.6184267
212648,1555114400001093,74.2288634,18.0963228
212703,1555214400001604,74.2288719,18.0963108
212773,1557108100015516,84.6025494,14.4439428
212824,1557109100006294,90.2451169,16.6686472
212875,1558109200027437,96.8176333,16.9748325
212924,1582107400006202,261.639702,13.942404
212943,1582207400008169,261.6396197,13.9426439
212975,1583102100018634,270.6273897,12.6330629
212998,1583202100025374,270.6275864,12.6332173
213030,1584208400013355,273.9056222,14.0981179
213077,1585113200037340,286.1609569,18.3537715
213102,1585213200043790,286.1608335,18.3539082
213158,1586101400019237,293.4110882,12.153579
213197,1587107100047373,296.8150681,14.5233491
213246,1587109100041306,300.8222308,16.3119557
213293,1587110300049513,298.4489526,15.5106116
213343,1587112400029670,294.9834076,15.8096482
213394,1587115100016357,297.0853461,18.787185
213445,1587207100045565,296.8150712,14.5233568
213497,1587212400027390,294.9833905,15.8096625
213550,1587215100016035,297.0853553,18.7871904
213602,1588113300017056,307.3437884,17.6511617
213654,1588213300044038,307.3437526,17.6511947
213705,1630113200004868,253.2637615,25.4908143
213725,1630213200009019,253.2637992,25.4907829
213753,1631107200003736,256.6923249,22.0978288
213771,1631207200004463,256.692265,22.0979288
213805,1633208400007338,270.364296,21.2471351
213860,1634107100014336,279.8796715,22.0351578
213896,1634113200054630,282.2683343,25.9426312
213932,1634201400058040,283.6845596,19.0032841
213987,1634201400080939,283.5964451,18.8823959
214042,1634207100018232,279.8797404,22.0353021
214099,1634213200013051,282.2682355,25.9427777
214156,1635103200048579,285.7165326,19.7309457
214199,1635104300043004,283.5961258,18.8822805
214245,1635203200050017,285.7164163,19.7309687
214297,1635204300042896,283.5960175,18.8823051
214350,1636101300087469,297.0854242,18.787181
214370,1636115100003301,294.0301145,26.1986625
214418,1636215100002778,294.0301187,26.1986622
214471,1636315100003402,294.0301432,26.1986425
214484,1636316400046373,292.1207709,24.6234708
214497,1637105200037908,304.2483744,22.1530294
214547,1637113100035497,305.7462983,25.4454172
214594,1637205200014863,304.2484137,22.1530836
214648,1637213100045469,305.7462988,25.4454364
214702,1638116200036437,305.7462981,25.4454113
214753,1638216200045092,305.7463063,25.4454196
214814,1638316200049132,305.7463109,25.4454019
214828,1657108400002584,89.949481,28.6437095
214878,1673313200000699,217.5978133,33.3636306
214894,1681203300003710,274.875072,26.7041369
214953,1682101100036052,287.57084,26.9732275
215009,1682106400015274,285.4539133,28.3705761
215065,1682201100065059,287.5710005,26.9733373
215123,1682206400018001,285.45403,28.3706503
215181,1683101200047178,294.1309109,26.9420055
215234,1683101300040640,294.030125,26.1986547
215287,1683102400024755,293.7809232,26.4537454
215339,1683105100009829,295.7867218,29.3945099
215394,1683105400051027,295.4093416,28.6600051
215448,1683109300027070,294.3884032,30.2038523
215504,1683109400037338,295.7732792,30.0132438
215560,1683109400040631,295.1581514,29.9775117
215616,1683201200044980,294.1309091,26.9419903
215673,1683201300036822,294.0301305,26.1986637
215726,1683202400022009,293.7809267,26.4537477
215782,1683205400002827,295.4093409,28.6599871
215836,1683209300027483,294.3883938,30.2038383
215892,1683209400037562,295.7732972,30.0132203
215949,1683209400040893,295.1581472,29.9774935
216006,1683302400023822,293.7809263,26.4537245
216020,1683305100057014,295.7867225,29.3944768
216034,1683309400037381,295.7732822,30.0132105
216048,1683309400040618,295.1581545,29.9774872
216062,1684108200010038,295.7867124,29.3944989
216113,1684108300002600,295.4093305,28.6599955
216164,1684111200085033,297.6004434,31.36399
216215,1684112300039103,295.773279,30.013247
216266,1684208300052981,295.4092372,28.6601428
216322,1684212300080197,295.7732223,30.0133893
