target,ra_1,dec_1,observable,phot_g_mean_mag,phot_variable_flag,matched_transits,index,oid,ra_2,dec_2,designation_01
Gaia DR3 4405589130813654144,16h12m45.69213755s,-1d43m18.92539795s,True,7.448497,VARIABLE,56,31320,430110400033076,243.1923142,-1.7220362,Gaia DR3 4405589130813654144
Gaia DR3 4421478929255408768,15h18m24.78504864s,2d02m53.08442554s,True,11.301178,VARIABLE,26,33701,479101100051439,229.6058391,2.0478247,Gaia DR3 4421478929255408768
Gaia DR3 4421572147228442112,15h18m36.14865153s,2d04m16.22141948s,True,11.493106,VARIABLE,26,33433,479101100020060,229.6490284,2.0705313,Gaia DR3 4421572147228442112
Gaia DR3 4462172954111816064,16h36m58.19923872s,14d28m30.961653s,True,6.990211,VARIABLE,54,94547,1580106200021478,249.2401618,14.4753619,Gaia DR3 4462172954111816064
Gaia DR3 4475093074737814400,18h09m35.96097298s,7d16m25.76224652s,True,11.1817045,VARIABLE,36,34191,486216400085821,272.3990198,7.2753176,Gaia DR3 4475093074737814400
Gaia DR3 4484676108846235904,18h17m52.08832511s,11d52m39.79713582s,True,7.026567,VARIABLE,25,94629,1584204400060980,274.4693896,11.8776315,Gaia DR3 4484676108846235904
Gaia DR3 4484711602456021760,18h19m05.98883383s,12d11m35.81193463s,True,7.0775723,VARIABLE,29,94603,1584103300049529,274.7768743,12.1932607,Gaia DR3 4484711602456021760
Gaia DR3 4484791347109688832,18h15m50.53908793s,12d05m43.9906926s,True,11.965209,VARIABLE,26,94604,1584104400037679,273.9628461,12.0957927,Gaia DR3 4484791347109688832
Gaia DR3 4500997701822869504,17h50m07.62420082s,15d29m43.4881803s,True,7.9888015,VARIABLE,42,39017,587202300054136,267.5333484,15.4941888,Gaia DR3 4500997701822869504
Gaia DR3 4516123820725114624,19h13m19.37175445s,19d23m48.46283502s,True,11.970513,VARIABLE,51,39449,590111400091233,288.330699,19.3968185,Gaia DR3 4516123820725114624
Gaia DR3 4532456245628634624,18h47m34.55726111s,22d50m45.74433148s,True,10.332576,VARIABLE,91,46140,638204300110377,281.8925132,22.8448621,Gaia DR3 4532456245628634624
Gaia DR3 4533643649473060736,19h05m55.64627678s,24d47m38.60113736s,True,9.63947,VARIABLE,77,95178,1635215400109248,286.4839442,24.7933922,Gaia DR3 4533643649473060736
Gaia DR3 4587447357614092416,18h33m54.82771853s,29d27m51.49142955s,True,9.612631,VARIABLE,53,45783,637114200042307,278.476608,29.4625936,Gaia DR3 4587447357614092416
Gaia DR3 4589034532709089664,18h33m57.41098578s,31d38m24.1026107s,True,11.989257,VARIABLE,49,50742,683105400013059,278.48915,31.6400883,Gaia DR3 4589034532709089664
