index,oid,ra,dec,designation_01
162346,764306100002050,274.5465147,47.5236639,Gaia DR3 2122044831583708416
162398,766101200001478,295.5009662,45.6611088,Gaia DR3 2080001057429056640
163319,766105200022639,296.0597393,46.8025175,Gaia DR3 2080540161723282944
164281,766201200031020,295.5011055,45.6610458,Gaia DR3 2080001057429056640
165497,766205200027266,296.0599861,46.8023367,Gaia DR3 2080540161723282944
166765,766301200001311,295.5011354,45.6609988,Gaia DR3 2080001057429056640
166858,766305200033337,296.0599441,46.802379,Gaia DR3 2080540161723282944
166954,767112400001845,299.0046108,48.6053437,Gaia DR3 2086871493274378624
167435,767114100022820,303.9842284,50.8201079,Gaia DR3 2088135515026030208
167595,767212400002031,299.0046449,48.6054406,Gaia DR3 2086871493274378624
168569,767214100029484,303.9842575,50.8201382,Gaia DR3 2088135515026030208
169066,768105400007544,317.2198513,46.5490307,Gaia DR3 2164342945153149568
169790,768105400011376,316.9846464,46.4880721,Gaia DR3 2164339023814988416
170513,768105400026740,316.4164599,46.2347575,Gaia DR3 2162840355106522368
171225,768305400053955,317.0507978,45.8134935,Gaia DR3 2162762427223310336
171340,769105300001360,325.2599383,46.717204,Gaia DR3 1977328902153213440
172010,769106300045005,322.9223987,46.5730687,Gaia DR3 1977454830597065600
172731,769108100079423,318.0091228,46.9852123,Gaia DR3 2164422964661423360
173057,769108300010364,316.9846521,46.4880594,Gaia DR3 2164339023814988416
173770,769108300044193,317.2199067,46.5489911,Gaia DR3 2164342945153149568
174484,769111400021670,321.2359702,48.2079661,Gaia DR3 2164734298245053312
175198,769113100019166,327.5231401,50.7068608,Gaia DR3 1980522738604744704
175912,769205300001221,325.2599657,46.7172108,Gaia DR3 1977328902153213440
177312,769206300011505,322.922428,46.573064,Gaia DR3 1977454830597065600
178765,769306300011354,322.9224288,46.5730631,Gaia DR3 1977454830597065600
178915,770103300030054,330.4589759,44.3153615,Gaia DR3 1962726494373022464
179480,770115300029844,329.7935897,49.9972917,Gaia DR3 1979916980727866880
180040,770115300048564,330.4266122,50.1386091,Gaia DR3 1979907978477074560
180601,770116200019361,327.5231465,50.7068964,Gaia DR3 1980522738604744704
181160,770203300022460,330.458999,44.3153391,Gaia DR3 1962726494373022464
182096,770215300026652,330.4266992,50.1385545,Gaia DR3 1979907978477074560
183021,770303300052991,330.4590001,44.3153279,Gaia DR3 1962726494373022464
183072,771204100045394,338.3888002,45.0994734,Gaia DR3 1982956748109038208
184253,792115100001462,211.899387,58.346042,Gaia DR3 1659676827481828608
185298,792215100021219,211.8993803,58.3460623,Gaia DR3 1659676827481828608
186397,792315100003320,211.8993962,58.346069,Gaia DR3 1659676827481828608
