cntr_01,dist_x,pang_x,designation_01,source_id_01,ra_01,dec_01,oid,ra,dec,field,ccdid,qid,filtercode,ngoodobs,ngoodobsrel,nobs,nobsrel,refmag,refmagerr,astrometricrms,chisq,magrms,maxmag,medianabsdev,medianmag,medmagerr,minmag
488,0.006353,-70.708165,Gaia DR3 2929795383879276544,2929795383879276544,1.1069440198E+02,-2.0658330283E+01,309101300020948,110.6944002,-20.6583297,309,1,3,zg,159,158,189,188,1.226300E+01,1.000000E-02,1.428487E-06,1.121530E+00,9.502184E-02,1.341790E+01,9.438515E-03,1.224181E+01,1.247719E-02,1.217067E+01
488,0.049820,114.855636,Gaia DR3 2929795383879276544,2929795383879276544,1.1069440198E+02,-2.0658330283E+01,309201300028215,110.6944154,-20.6583361,309,1,3,zr,353,352,492,491,1.216300E+01,1.200000E-02,7.148767E-07,9.881856E-01,1.010331E-01,1.394439E+01,9.977341E-03,1.208590E+01,1.496926E-02,1.189730E+01
488,0.095758,7.316019,Gaia DR3 2929795383879276544,2929795383879276544,1.1069440198E+02,-2.0658330283E+01,260115200026906,110.6944056,-20.6583039,260,15,2,zg,110,109,125,124,1.224700E+01,1.000000E-02,7.781186E-07,1.025046E+00,1.515819E-01,1.380513E+01,7.506847E-03,1.222003E+01,1.085771E-02,1.217520E+01
497,0.005556,-130.679899,Gaia DR3 2929844513999140608,2929844513999140608,1.1037966915E+02,-2.0555813794E+01,309201300024173,110.3796679,-20.5558148,309,1,3,zr,382,381,493,492,1.256400E+01,9.000000E-03,5.746490E-07,8.540853E-01,5.485760E-02,1.355537E+01,8.458614E-03,1.254768E+01,1.468324E-02,1.245246E+01
497,0.011369,-23.594826,Gaia DR3 2929844513999140608,2929844513999140608,1.1037966915E+02,-2.0555813794E+01,309101300018020,110.3796678,-20.5558109,309,1,3,zg,161,160,190,189,1.282700E+01,1.100000E-02,1.302061E-06,8.081430E-01,1.261179E-02,1.289773E+01,7.007599E-03,1.284765E+01,1.285597E-02,1.279974E+01
497,0.032937,33.900238,Gaia DR3 2929844513999140608,2929844513999140608,1.1037966915E+02,-2.0555813794E+01,260215200002526,110.3796746,-20.5558062,260,15,2,zr,737,736,891,890,1.252900E+01,1.400000E-02,4.231339E-07,1.006794E+00,1.586492E-02,1.263309E+01,9.533882E-03,1.254134E+01,1.403955E-02,1.247120E+01
497,0.084259,7.701834,Gaia DR3 2929844513999140608,2929844513999140608,1.1037966915E+02,-2.0555813794E+01,260115200001380,110.3796725,-20.5557906,260,15,2,zg,114,113,126,125,1.283100E+01,8.000000E-03,7.713050E-07,1.263123E+00,7.751649E-02,1.363488E+01,9.484291E-03,1.282663E+01,1.113226E-02,1.276057E+01
503,0.085703,-18.988647,Gaia DR3 2930489519314499072,2930489519314499072,1.1062493962E+02,-1.9548893311E+01,309101200016888,110.6249314,-19.5488708,309,1,2,zg,146,145,190,189,1.219100E+01,1.200000E-02,1.210479E-06,9.816031E-01,9.681543E-02,1.330727E+01,7.960796E-03,1.215220E+01,1.202388E-02,1.208548E+01
506,0.077199,26.440165,Gaia DR3 2929721403060975232,2929721403060975232,1.0951447077E+02,-2.1035717001E+01,260116100013353,109.5144810,-21.0356978,260,16,1,zg,106,105,125,124,1.210300E+01,9.000000E-03,5.139939E-07,4.259045E+00,3.898971E-02,1.215719E+01,2.931690E-02,1.206331E+01,1.020540E-02,1.197464E+01
533,0.154755,13.669031,Gaia DR3 1868328640828879104,1868328640828879104,3.1679576251E+02,3.6208568630E+01,1729105200024823,316.7957751,36.2086104,1729,5,2,zg,48,39,68,57,1.249600E+01,2.100000E-02,8.207849E-07,8.728284E-01,1.017867E-02,1.246859E+01,6.107807E-03,1.244119E+01,1.037482E-02,1.241961E+01
555,0.053163,-17.983320,Gaia DR3 2957941232276476800,2957941232276476800,8.1043183110E+01,-2.4489096346E+01,256107200000916,81.0431781,-24.4890823,256,7,2,zg,133,132,165,164,1.227000E+01,9.000000E-03,4.746591E-07,1.092720E+00,1.745247E-02,1.234870E+01,1.123238E-02,1.228686E+01,1.524007E-02,1.224089E+01
596,0.107162,11.182034,Gaia DR3 2112562574587422976,2112562574587422976,2.7149626604E+02,4.0219474998E+01,725106100002399,271.4962736,40.2195042,725,6,1,zg,611,602,1094,1085,1.247300E+01,1.100000E-02,7.875641E-07,1.276299E+00,2.475031E-02,1.254900E+01,1.331234E-02,1.248651E+01,1.546415E-02,1.239581E+01
596,2.746191,-10.965838,Gaia DR3 2112562574587422976,2112562574587422976,2.7149626604E+02,4.0219474998E+01,725306100054432,271.4960760,40.2202239,725,6,1,zi,0,0,0,0,1.647200E+01,3.000000E-01,0.000000E+00,null,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,null,0.000000E+00
597,0.072123,-2.750885,Gaia DR3 2115021426183430144,2115021426183430144,2.7541982083E+02,4.3702433689E+01,726216100017270,275.4198195,43.7024537,726,16,1,zr,646,635,1297,1283,1.248400E+01,2.500000E-02,5.384606E-07,1.180961E+00,1.500731E-02,1.246125E+01,8.601665E-03,1.241800E+01,1.079869E-02,1.220205E+01
597,0.082511,7.740369,Gaia DR3 2115021426183430144,2115021426183430144,2.7541982083E+02,4.3702433689E+01,726316100010546,275.4198251,43.7024564,726,16,1,zi,127,70,139,78,1.256400E+01,1.800000E-02,3.397169E-07,7.434984E-01,1.019456E-02,1.259927E+01,6.445885E-03,1.256913E+01,1.285365E-02,1.254643E+01
597,0.083743,-3.795537,Gaia DR3 2115021426183430144,2115021426183430144,2.7541982083E+02,4.3702433689E+01,726116100004502,275.4198187,43.7024569,726,16,1,zg,474,471,1118,1109,1.227100E+01,1.200000E-02,5.939091E-07,1.124704E+00,1.265359E-02,1.230124E+01,8.136749E-03,1.224252E+01,1.072597E-02,1.220249E+01
604,0.043145,38.923208,Gaia DR3 2235411322294085376,2235411322294085376,2.9572741057E+02,5.8052170276E+01,1833106200006252,295.7274248,58.0521796,1833,6,2,zg,0,0,50,50,1.351300E+01,1.500000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.290973E-02,0.000000E+00
604,0.043150,15.963838,Gaia DR3 2235411322294085376,2235411322294085376,2.9572741057E+02,5.8052170276E+01,1833206200009920,295.7274168,58.0521818,1833,6,2,zr,0,0,64,64,1.375500E+01,1.700000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,9.241767E-03,0.000000E+00
604,0.051055,46.155349,Gaia DR3 2235411322294085376,2235411322294085376,2.9572741057E+02,5.8052170276E+01,800116200006758,295.7274299,58.0521801,800,16,2,zg,0,0,536,534,1.354300E+01,1.700000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.050510E-02,0.000000E+00
604,0.057675,18.147191,Gaia DR3 2235411322294085376,2235411322294085376,2.9572741057E+02,5.8052170276E+01,800216200008839,295.7274200,58.0521855,800,16,2,zr,0,0,736,735,1.374800E+01,2.600000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.022299E-02,0.000000E+00
604,0.096575,-21.123010,Gaia DR3 2235411322294085376,2235411322294085376,2.9572741057E+02,5.8052170276E+01,799113200015895,295.7273923,58.0521953,799,13,2,zg,0,0,668,663,1.353900E+01,1.800000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.013053E-02,0.000000E+00
604,0.107823,-10.762699,Gaia DR3 2235411322294085376,2235411322294085376,2.9572741057E+02,5.8052170276E+01,799213200010319,295.7274000,58.0521997,799,13,2,zr,0,0,862,857,1.375500E+01,1.300000E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.359711E-02,0.000000E+00
628,0.180873,15.776818,Gaia DR3 4377022405672156416,4377022405672156416,2.6426178252E+02,3.0604658502E+00,484105400012991,264.2617962,3.0605142,484,5,4,zg,291,289,372,367,1.232600E+01,1.500000E-02,4.865212E-07,1.131717E+00,1.647452E-02,1.235539E+01,1.069260E-02,1.230825E+01,1.400778E-02,1.221992E+01
628,0.202016,25.259824,Gaia DR3 4377022405672156416,4377022405672156416,2.6426178252E+02,3.0604658502E+00,484205400056698,264.2618065,3.0605166,484,5,4,zr,408,334,758,641,1.236000E+01,1.500000E-02,6.123963E-07,1.146897E+00,2.125400E-02,1.246860E+01,1.118040E-02,1.231266E+01,1.445296E-02,1.218298E+01
635,0.072119,-16.250325,Gaia DR3 3100685123196031616,3100685123196031616,1.0095983033E+02,-5.3022075326E+00,410202200023503,100.9598247,-5.3021883,410,2,2,zr,262,260,419,416,1.237000E+01,1.200000E-02,3.057137E-07,1.464483E+00,1.324608E-02,1.241946E+01,7.543087E-03,1.233156E+01,7.636399E-03,1.230075E+01
