index,oid,ra,dec,designation_01
16989,331112400075164,260.2827373,-16.6410465,Gaia DR3 4135303780877021312
17265,331205300194979,264.8223048,-18.4121583,Gaia DR3 4123258974681562496
17764,331206100193737,264.4151068,-17.8270334,Gaia DR3 4123494716824442880
17775,331207300020741,260.9833044,-18.3250174,Gaia DR3 4122794392253089024
18498,331208400026722,259.8143943,-18.519623,Gaia DR3 4122470757881214848
19218,331209300015095,265.2501705,-16.3034737,Gaia DR3 4124125282361429504
19935,331212100010159,260.2452827,-15.3670042,Gaia DR3 4137697104137428992
20664,331214400196730,263.973277,-14.2078182,Gaia DR3 4137376669543774208
20666,332101100071873,273.3084807,-19.0347502,Gaia DR3 4094748225771616256
20682,332109400052591,273.116871,-16.3804348,Gaia DR3 4145606857669163264
20689,332205400063946,273.39554,-18.4335948,Gaia DR3 4095626838633668992
21047,332209400091025,272.6412082,-16.7404059,Gaia DR3 4145581568895579008
21086,332209400096162,272.6420776,-16.7492188,Gaia DR3 4145581465816350464
21325,332301200122442,272.110168,-19.8681418,Gaia DR3 4095046193393026944
21362,332304200086705,266.1062459,-19.6315855,Gaia DR3 4119884023727270272
21531,332309100101666,273.1206107,-15.371853,Gaia DR3 4145997734070527744
21536,332310200120203,270.1628958,-15.8025523,Gaia DR3 4145230446787680128
21680,333101100111434,279.8515214,-19.6187386,Gaia DR3 4092221754255565056
21723,333106300179357,277.1428192,-18.3698317,Gaia DR3 4093203343313250432
21724,333107100146792,276.313546,-17.5168999,Gaia DR3 4096868771398796032
21725,333107200113054,275.290053,-17.3817322,Gaia DR3 4096549638188633600
21727,333107300047952,274.8651306,-18.2176916,Gaia DR3 4096387528961643136
21762,333108100055328,274.4278586,-17.8075282,Gaia DR3 4097166086190134016
21801,333108400076012,274.3923815,-18.0097857,Gaia DR3 4097158870644710784
21859,333108400086938,274.207451,-18.551448,Gaia DR3 4094871508536397312
22057,333108400090593,274.0520126,-18.798856,Gaia DR3 4094843196108207360
22179,333110400180178,277.7468729,-16.5717599,Gaia DR3 4096860387686657152
22181,333114100166209,277.9163327,-13.7998123,Gaia DR3 4104563115085215232
22182,333116400037248,274.0113864,-14.3058268,Gaia DR3 4146472650032316544
22183,333201200006750,278.6702526,-19.1254835,Gaia DR3 4093222030592736512
22597,333204200121632,273.6801679,-19.0181827,Gaia DR3 4094739567117158912
22598,333205200033716,279.1963027,-17.6305421,Gaia DR3 4099494267768340480
23330,333206400198619,277.8443825,-18.2635663,Gaia DR3 4093547902731522816
23339,333207100098361,275.7118488,-17.4466791,Gaia DR3 4096554311114139008
23374,333207100171372,275.8558182,-17.1219607,Gaia DR3 4096944289764869248
23379,333207100193489,276.5289625,-17.7913294,Gaia DR3 4096287335966405120
23398,333207200144212,275.1115339,-17.1140463,Gaia DR3 4097331528323907584
23572,333207200147690,275.5399222,-17.4288945,Gaia DR3 4096556544496840576
23678,333207200185851,275.4306958,-17.8957009,Gaia DR3 4096468789712756352
23680,333207300190178,275.2731169,-18.0807793,Gaia DR3 4096368974701052160
23685,333208400079554,273.9851431,-18.2413032,Gaia DR3 4095650271976366592
23993,333208400094573,274.0698021,-18.7377047,Gaia DR3 4094844776657272832
24018,333210300184180,277.1006615,-16.7028972,Gaia DR3 4097022290734916224
24039,333214100125189,278.2833575,-13.9129134,Gaia DR3 4104549061952244480
24197,333214200069943,276.8672649,-13.9943189,Gaia DR3 4104406572110422656
24571,333214200179983,277.500625,-13.4840047,Gaia DR3 4104775153391651456
24576,333214300143941,277.0055752,-14.7053266,Gaia DR3 4104038411899453568
24727,333303300175750,275.5846676,-20.0669643,Gaia DR3 4091485425078680576
24728,333304200149511,273.5176559,-19.1691904,Gaia DR3 4094730805383871744
24729,333304200149828,272.9283271,-19.2071862,Gaia DR3 4095471292103944832
24730,333304400186070,273.9044283,-20.3677037,Gaia DR3 4094406002779863680
24733,333308300152810,273.3073877,-18.4583784,Gaia DR3 4095626976072730112
24736,333309200066004,279.4338906,-15.4287104,Gaia DR3 4103037164736344064
24741,333309200154037,278.9267921,-15.7243216,Gaia DR3 4103004218119994112
24785,333311100121556,276.5833875,-15.2855541,Gaia DR3 4103980240872667776
24816,333311200155637,274.9163659,-16.0223221,Gaia DR3 4098014703005434496
24825,333312100182730,274.2038902,-15.6553012,Gaia DR3 4146126887984301184
24826,333315300133265,275.6845616,-14.3622863,Gaia DR3 4152321403365187072
24830,334116200006632,280.5491408,-13.4532488,Gaia DR3 4105340680314690048
25014,334207400034609,283.3948576,-18.562177,Gaia DR3 4086743605003890560
25658,334211200155975,282.4854826,-15.6309536,Gaia DR3 4100157479403584128
25659,336206100046531,299.1698651,-17.9235498,Gaia DR3 6870452273367422080
25666,336212300049582,294.8437137,-16.6786359,Gaia DR3 4180161033474768640
26018,354303300018480,67.2761957,-13.0483769,Gaia DR3 3177730441273211008
26021,358101100037160,100.2403767,-12.1834658,Gaia DR3 2953449967797004928
26024,358102100023347,97.8480382,-12.5594737,Gaia DR3 2952064789303651200
26027,358102300024744,97.6427328,-13.1480361,Gaia DR3 2951938139307913728
26041,358216200038556,93.4824585,-6.8232296,Gaia DR3 3007693205717666304
26050,359105300038586,106.157693,-11.5220003,Gaia DR3 3045838837503121280
26057,359106400042567,105.309491,-10.9334134,Gaia DR3 3049121807424991104
26059,359109200039695,106.2437647,-8.449584,Gaia DR3 3051504002445795072
26060,359109200039902,106.46283,-8.8069306,Gaia DR3 3051291693621695744
26062,359109300040573,106.2624445,-9.5925906,Gaia DR3 3049698707431223552
26063,359115300034616,102.8142888,-7.684757,Gaia DR3 3099100589502320000
26165,359201300011640,106.2651901,-13.0333992,Gaia DR3 3044824675465558016
26518,359201300012813,106.568711,-13.0607473,Gaia DR3 3044780213963949824
26872,359201300014662,106.0463892,-13.1116733,Gaia DR3 3044825912416343808
27226,359202400058395,104.9027208,-13.0023167,Gaia DR3 2949551408804219776
27230,359204300049140,100.9766032,-12.9280869,Gaia DR3 2952555480727836416
