source_id,random_index,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,pseudocolour,pseudocolour_error,ipd_frac_multi_peak,ipd_frac_odd_win,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,rv_expected_sig_to_noise,rv_renormalised_gof,rv_chisq_pvalue,phot_variable_flag,l,b,in_qso_candidates,in_galaxy_candidates,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,in_andromeda_survey,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,ag_gspphot,ebpminrp_gspphot,r_med_photogeo,r_lo_photogeo,r_hi_photogeo
458902794434715008,1004065219,36.11704940172674,58.300713328427044,0.44708017728156196,0.021324623,20.965443,0.4668272309579609,0.016602857,0.8261035950116272,0.01884029,95,1.5659919,0.003259669,0,0,1.0971863,1770.3314,9.7590475,816.6702,10.058017,1440.786,9.278042,1.2062205,0.77997494,,,,,,,VARIABLE,134.9175802479116,-2.3895268797028453,false,false,0,true,true,false,true,false,true,true,false,21724.525,3.3027,0.2918,2844.4534,2.0952,1.1473,2101.56,2017.3856,2208.9062
458639701918461056,923006392,34.01846379316606,57.744904395154556,0.447935528045323,0.019324722,23.179403,-0.8112860808773186,0.01596748,-1.217975495538653,0.018572573,31,,,0,0,1.0723189,937.34204,8.985918,332.29514,9.164773,284.2849,8.644108,1.1917554,0.52066517,,,,,,,VARIABLE,134.05729465848628,-3.2870942453696492,false,false,0,true,true,false,true,false,true,true,false,18852.488,3.3471,0.2066,1787.5023,1.5453,0.8416,2111.1921,2034.9772,2206.326
458401417131679744,313145271,35.69571787836366,56.96829779277044,0.3982921491527997,0.016053677,24.810028,-0.5516496304249632,0.014370175,-1.2527947798476615,0.013973743,31,,,0,0,1.062852,1249.7478,10.363162,441.349,10.629294,449.0872,9.907703,1.2078842,0.721591,,,,,,,VARIABLE,135.17148078508814,-3.7168938525343647,false,false,0,true,true,false,true,false,true,true,false,35000.867,3.8836,0.0029,3795.018,2.1873,1.2025,2383.0515,2298.8342,2486.442
458406433653361152,633573326,35.651231043494086,57.081770870685276,0.4219696499491577,0.015180945,27.796005,-0.6241890194777981,0.01274439,-1.1775257749859513,0.014658183,31,,,0,0,0.9819114,3013.4912,9.90935,1360.845,10.026736,1501.4961,9.663249,1.1789247,0.36348724,,,,,,,VARIABLE,135.10939613379352,-3.6187935122113823,false,false,0,true,true,false,true,false,true,true,false,18987.703,3.4072,0.0408,2854.5776,1.2546,0.6817,2264.744,2189.1157,2362.4636
458407533164943360,1086172362,35.57370169660963,57.12350385836077,0.38226043056638037,0.016255116,23.516315,-0.9120712660016849,0.013091435,-1.4383196691198115,0.014919112,31,,,1,0,0.97077316,1019.0164,9.14455,352.9373,9.306965,345.2404,8.824427,1.1897364,0.48253822,,,,,,,VARIABLE,135.0553704652461,-3.5941443237114705,false,false,0,true,true,false,true,false,false,true,false,,,,,,,2452.829,2367.567,2525.531
458407670603899648,1733612237,35.53570352714599,57.12454836175567,0.3790962950259794,0.01649945,22.9763,-0.9880281003661431,0.013432662,-1.4959889808573916,0.016248586,31,,,0,0,0.91281253,3034.1306,9.088153,900.6064,9.223147,1130.7258,8.80731,1.1856217,0.4158373,,,,,,,VARIABLE,135.03560518621836,-3.6002602837571978,false,false,0,true,true,false,true,false,true,true,false,20752.139,3.3404,0.0448,2392.1465,1.3995,0.7623,2467.6758,2374.2986,2591.085
458409869627124736,95808249,35.76743487517365,57.127430395892645,0.42378066099077333,0.01774313,23.88421,-0.6457883440582785,0.014275993,-1.2394342815021122,0.017375903,31,,,0,0,1.0447637,367.5242,10.179674,139.46173,10.412817,108.90022,9.781052,1.1927366,0.63176537,,,,,,,VARIABLE,135.1528770834645,-3.5541049661923743,true,false,0,true,true,false,true,false,true,true,false,25365.28,3.9423,-0.6029,1725.2041,1.8475,1.0107,2258.3748,2179.4526,2353.2937
458412274808691712,1006994832,35.989281035504554,57.2372488661272,0.38680473519919256,0.0145665435,26.554325,-0.5079089773406372,0.010696713,-1.0834318359988426,0.012827948,31,,,0,0,0.9414658,3098.5586,10.181154,1088.8281,10.416705,1328.2228,9.775981,1.195118,0.6407242,,,,,,,VARIABLE,135.2274140726477,-3.4092573287831183,false,false,0,true,true,false,true,false,false,true,false,,,,,,,2442.225,2356.4392,2516.6868
458413065082770304,1162324611,35.70401385901895,57.15387653461407,0.39235642261611137,0.016715273,23.472929,-0.8103919957341378,0.013824751,-1.0674741172322373,0.016429903,31,,,0,0,1.1430875,2512.481,9.944382,1209.4987,10.108618,1649.2849,9.635001,1.1831236,0.4736166,,,,,,,VARIABLE,135.1113528726139,-3.54122672609526,false,false,0,true,true,false,true,false,true,true,false,17779.982,3.5175,-0.2328,1973.6536,1.4154,0.7689,2406.3171,2319.7686,2492.7463
458413339960648448,1011705682,35.79841651608615,57.1721434373347,0.40786478925715086,0.01692337,24.100683,-0.525055354392117,0.013513427,-1.0695267088013396,0.016312256,31,,,0,0,1.0728167,2015.8448,9.460758,719.9361,9.596579,681.89105,9.180262,1.1849613,0.416317,,,,,,,VARIABLE,135.15310789536375,-3.5063384647711393,false,false,0,true,true,false,true,false,true,true,false,18817.87,3.3947,0.1419,2250.7703,1.3489,0.7334,2347.8342,2246.6482,2443.1328
458414027155398272,434373162,35.70043598261632,57.200233077020854,0.40951431761405277,0.015717436,26.05478,-0.6550472597799923,0.012663957,-1.2366741984130196,0.015158506,31,,,0,0,0.9984298,545.2041,10.307483,210.81128,10.607848,152.11378,9.8264675,1.205518,0.78138065,,,,,,,VARIABLE,135.093453349496,-3.4984072809137228,false,false,0,true,true,false,true,false,true,true,false,37497.086,4.1834,-0.9904,2313.1724,2.2965,1.2656,2313.7207,2223.8413,2390.1729
458665604854994432,1474792535,34.706538029670405,57.56875138352356,0.3762344934890617,0.017461484,21.546535,-0.5032232200531154,0.013663796,-0.7366263082533331,0.017258309,31,,,0,0,0.96669143,1539.6995,10.248158,555.9441,10.469866,672.4763,9.858353,1.194017,0.61151314,,,,,,,VARIABLE,134.46343575471784,-3.3332873252554864,false,false,0,true,true,false,true,false,true,true,false,18451.361,3.5071,0.2126,2258.0784,1.7034,0.928,2518.2646,2388.2886,2660.478
458437288699353856,1501216903,36.18469063741762,57.35345299149395,0.39931277705847396,0.014219178,28.082691,-0.6625413080122518,0.011561889,-1.2710806223037656,0.011626351,31,,,0,0,0.9057233,1167.377,10.31548,331.8002,10.691649,365.16748,9.738685,1.2288918,0.9529648,,,,,,,VARIABLE,135.28549652271118,-3.263350965749794,false,false,0,true,true,false,true,false,true,true,false,30009.133,3.9999,-3.0E-4,1865.3734,2.5957,1.4273,2342.564,2264.4668,2431.348
458453334698292096,1692597434,35.43082725563755,57.12577281697557,0.42026467614039087,0.01606495,26.160349,-0.6403171327050606,0.012610485,-1.2331297006924336,0.015697122,31,,,0,0,1.0461267,243.77408,9.3778105,104.25415,9.529825,75.29663,9.081256,1.1836075,0.4485693,,,,,,,VARIABLE,134.9816049072724,-3.6186385011871236,false,false,0,true,true,false,true,false,true,true,false,27194.951,3.8173,0.0025,2045.979,1.6027,0.8763,2270.9797,2208.3774,2375.6912
458454606008605312,1497759175,35.50239680676665,57.14495927856991,0.41302855373078756,0.02084943,19.810064,-0.5976548912081001,0.016933044,-1.1631285512623721,0.020845266,31,,,0,0,0.9814846,2253.2725,7.9676514,934.6821,8.136311,773.9548,7.6367207,1.1918093,0.49958992,-41.613064,1.6582298,26,334.04068,2.5595417,1.6439917E-4,VARIABLE,135.01157149917066,-3.587301094936927,false,false,0,true,true,false,true,false,false,true,false,,,,,,,2269.5603,2160.3193,2377.6052
458454606008606336,716445459,35.51159515649917,57.14027850945556,0.40566043161708126,0.015276533,26.554483,-0.7190026216512224,0.012773961,-1.1273067365455143,0.016564734,31,,,0,0,0.90223306,2489.8564,9.879723,964.52484,10.024881,1123.7719,9.594448,1.1818843,0.43043327,,,,,,,VARIABLE,135.01787824680858,-3.589983645824039,false,false,0,true,true,false,true,false,false,true,false,,,,,,,2334.8384,2247.7576,2425.3833
458454606008607232,339359481,35.50392168321665,57.13730463291177,0.42058451186499834,0.0143477395,29.313643,-0.5344831008576616,0.010781236,-1.2775793142221836,0.013724544,31,,,0,0,0.91020876,3446.4548,9.307289,1251.3698,9.465217,1907.386,8.996553,1.1874549,0.46866322,,,,,,,VARIABLE,135.01498324578526,-3.594206437664125,false,false,0,true,true,false,true,false,true,true,false,18950.152,3.3562,0.1991,2156.556,1.4525,0.7905,2267.202,2204.9155,2340.1558
458454880886508032,1785328776,35.47058216358907,57.16636906544936,0.42492654504906935,0.016607996,25.58566,-0.791606176815708,0.013466223,-1.1691722529030089,0.01676245,31,,,0,0,1.0560322,236.8826,9.715952,89.73493,9.965959,62.429127,9.259687,1.2168527,0.7062712,,,,,,,VARIABLE,134.98797257373383,-3.573110452866086,false,false,0,true,true,false,true,false,true,true,false,37524.844,4.1546,-0.9877,1936.2719,2.201,1.2124,2215.7063,2148.1987,2295.3918
458456358355233920,1178438988,35.48097631632931,57.24291124391237,0.4509166480995217,0.018828444,23.948694,-0.5813465946430553,0.014093826,-1.2199636173855266,0.01854152,31,,,0,0,0.9519509,1457.2042,6.234268,456.36368,6.565604,489.21432,5.6920967,1.2280391,0.8735075,-43.68857,0.84536576,25,869.97156,,0.0,VARIABLE,134.9669744562398,-3.4992785002213136,false,false,0,true,true,true,true,false,false,true,false,,,,,,,2094.6765,2020.0172,2184.976
458457320427789824,424338790,35.28195486006282,57.166787651542016,0.44099202767412715,0.016100798,27.38945,-0.4842242634884676,0.012249955,-1.029863335414582,0.0148662515,31,,,0,0,1.0275081,3940.8792,9.411669,1727.0988,9.5783205,3052.32,9.0906,1.1877954,0.4877205,,,,,,,VARIABLE,134.89151521366057,-3.6076428677049974,false,false,0,true,true,false,true,false,true,true,false,19125.504,3.3751,0.1902,2199.8723,1.4917,0.8121,2178.0874,2084.9836,2236.2673
